"target","score","p","padj","norm_z_score","norm_z_score_p","norm_z_score_p_adj"
"CMA1_HUMAN",-167.610943436496,1,1,-2.06211301740666,0.0391969773040785,0.142395930508553
"GLR_RAT",-190.11038366365,1,1,-2.06318538033062,0.0390950186093826,0.142332946538921
"THRB_HUMAN",-99.5355729339588,1,1,-2.06791655163359,0.0386478707234267,0.141010235481136
"KS6A3_HUMAN",-136.495711709092,1,1,-2.0712417821193,0.0383362067916088,0.140177173529317
"PAFA_HUMAN",-427.16308845117,1,1,-2.07432398013403,0.0380492321719431,0.139430955366467
"FFAR1_HUMAN",-31.9826108636089,1,1,-2.07740959079031,0.0377637717577695,0.138687039512158
"AGTRB_RAT",-550.154398409482,1,1,-2.0810913433482,0.0374255460563522,0.137745664041104
"DYR_RAT",-504.262925819236,1,1,-2.08407733581189,0.0371531332528864,0.137042916954726
"PD2R_HUMAN",-47.406572493009,1,1,-2.08423172213161,0.0371390945693194,0.137042916954726
"MYLK_HUMAN",-384.296488414468,1,1,-2.08569331838024,0.0370064120730269,0.137042916954726
"MPIP2_HUMAN",-136.057089697691,1,1,-2.09055271093699,0.036568178599866,0.135778535110319
"P2RX7_RAT",-443.233727097581,1,1,-2.09297682217084,0.0363512236366493,0.135271588842575
"ERR3_HUMAN",-186.75685129524,1,1,-2.0995858415726,0.0357652893262752,0.133386289682472
"CP2J2_HUMAN",53.2413218238807,0,0,-2.11040091761036,0.0348238375059366,0.130453662995513
"HMDH_RAT",-845.502135911398,1,1,-2.113531760189,0.03455527958957,0.129736563101912
"FYN_HUMAN",-490.021442067584,1,1,-2.11414768634409,0.03450265536312,0.129736563101912
"TGFR2_HUMAN",-399.180092707814,1,1,-2.11840610668642,0.0341406891464924,0.128754796287893
"WEE1_HUMAN",-696.618339755662,1,1,-2.12215998056844,0.0338243059176818,0.127848275401215
"RORG_HUMAN",174.127934022347,0,0,-2.12515374854668,0.0335737859107521,0.1271871799592
"PARP2_HUMAN",-679.542272279185,1,1,-2.12737784720448,0.0333887012647558,0.126771547465732
"RAD51_HUMAN",-238.084983909756,1,1,-2.1304752878257,0.0331323939076783,0.126083001250486
"NK2R_MOUSE",-387.542839901815,1,1,-2.1367847779915,0.0326155007806546,0.12439744288676
"ERR2_HUMAN",-593.913212592296,1,1,-2.14013812498987,0.032343605808013,0.123640784020632
"PA21B_HUMAN",-891.060269471245,1,1,-2.14306064717787,0.032108228864529,0.123020594419448
"VDR_HUMAN",-955.916883145705,1,1,-2.14419825588279,0.0320170047806801,0.122951146212566
"CP2E1_HUMAN",-474.58709517365,1,1,-2.144384174485,0.0320021172320647,0.122951146212566
"AL1A1_HUMAN",-197.587557295776,1,1,-2.1452853406357,0.0319300398460089,0.122951146212566
"STK33_HUMAN",-421.509583579173,1,1,-2.14787634881506,0.0317235797131682,0.12266450822425
"KPCA_MOUSE",-762.190828211018,1,1,-2.15085365226148,0.0314877527527246,0.122033180023232
"MPIP1_HUMAN",-101.690991153363,1,1,-2.15397871609198,0.0312418410846915,0.12135976144215
"DHSO_HUMAN",-925.064296522635,1,1,-2.15864366615681,0.030877822330366,0.120223373054805
"IBP3_HUMAN",-633.171006327573,1,1,-2.162170504615,0.0306050361439266,0.119437751262377
"S5A1_RAT",-466.702137757502,1,1,-2.16463873521405,0.0304153621791952,0.118973579500945
"AOC1_RAT",-1170.90343799643,1,1,-2.16540822666952,0.0303564366015978,0.118973579500945
"OPRK_RAT",-53.1375377078687,1,1,-2.17018677236626,0.0299926997397378,0.117868506921119
"P2RX3_RAT",-1207.25390617601,1,1,-2.17371354434497,0.0297266548357169,0.117096565418444
"CTRC_HUMAN",-699.096855249585,1,1,-2.17580880136244,0.0295695603009678,0.116751174709455
"EPHB3_HUMAN",-478.986693582029,1,1,-2.17917345506857,0.0293187850980924,0.116033403611745
"MK14_MOUSE",-477.738241287968,1,1,-2.18054128747234,0.0292173618395436,0.115904723146491
"ALDH2_HUMAN",-207.571253974332,1,1,-2.18879470582196,0.0286117647073429,0.11377065777246
"AGTRA_RAT",-422.298332784259,1,1,-2.19242647879189,0.0283487264252205,0.11299184323986
"PNPH_HUMAN",-883.634580584387,1,1,-2.19426270296042,0.0282165291130815,0.11273207118338
"GLCM_MOUSE",-706.288719167523,1,1,-2.19645329212981,0.0280595148174597,0.112371676007065
"AK1C1_HUMAN",-1.86467162424231,1,1,-2.19722496970371,0.0280043831393586,0.112371676007065
"KPCE_HUMAN",-379.968082729866,1,1,-2.20177045594608,0.0276815269978042,0.111388345479202
"P2RX3_HUMAN",-261.893787391832,1,1,-2.20351631979744,0.0275583780050699,0.111158733344191
"SSR1_HUMAN",28.9474067959728,0,0,-2.20582001899159,0.0273966040393412,0.110771846139836
"KCNQ1_HUMAN",94.7960913643847,0,0,-2.20923302562195,0.027158436887583,0.110073471915457
"EPHA8_HUMAN",-483.060340119255,1,1,-2.21223508915201,0.0269504255168036,0.109494240867787
"5HT6R_HUMAN",201.618115454592,0,0,-2.21653716720739,0.0266547353569366,0.108555120751495
"PDE6D_HUMAN",-601.831899569273,1,1,-2.2177992823355,0.026568521087348,0.108466632206115
"OXDA_MOUSE",-244.145628537525,1,1,-2.22474851720654,0.0260981252551707,0.106805466372742
"Q63380_RAT",-51.9651329821157,1,1,-2.22494940959723,0.0260846345412099,0.106805466372742
"HDAC6_HUMAN",70.2477307109699,0,0,-2.22789784926906,0.0258873276428165,0.106460843753588
"MGLL_HUMAN",-133.378879268235,1,1,-2.23128256048089,0.0256624181269282,0.105794576689935
"PLCB_HUMAN",-331.685554066093,1,1,-2.23193629012679,0.0256191739630434,0.105794576689935
"DUT_HUMAN",-1286.94700496436,1,1,-2.2359553330477,0.0253546971821821,0.105040888326183
"PYRD_HUMAN",113.778486364769,0,0,-2.2366411167609,0.0253098053376704,0.105040888326183
"OPRD_HUMAN",-16.5988835440719,1,1,-2.2379056174667,0.0252272106405559,0.105030119548057
"XDH_RAT",-1083.52494439298,1,1,-2.23923831249763,0.0251404142330177,0.105021478968281
"LPAR1_HUMAN",-570.669327274555,1,1,-2.24991461080891,0.0244543662772111,0.102830610195672
"LCK_MOUSE",-568.189488097806,1,1,-2.25242292311166,0.0242955584683677,0.102418870535826
"ERBB2_HUMAN",-174.430113448369,1,1,-2.25529301381309,0.0241149428553227,0.102057682122021
"LYAM2_HUMAN",-1707.19103328248,1,1,-2.25822435620344,0.0239316755114268,0.101649187399545
"SSR1_RAT",-121.305192255034,1,1,-2.26220763223815,0.02368457799124,0.100854329572825
"PPIA_HUMAN",-42.8036545836948,1,1,-2.26251104743872,0.0236658470655462,0.100854329572825
"TRY2_BOVIN",-178.36717593269,1,1,-2.27160992357013,0.0231100809849868,0.0989087944446509
"FKBP5_HUMAN",-1031.44357802548,1,1,-2.2735979616103,0.0229901701391633,0.0986465973828384
"PGH1_BOVIN",-87.7173489149181,1,1,-2.28030410726948,0.0225896583791707,0.0971759728740794
"SYYC_HUMAN",-765.187037503754,1,1,-2.28400216132131,0.0223714039236155,0.0964838497423623
"S1PR4_HUMAN",-121.735936003039,1,1,-2.28441239035697,0.0223473060678362,0.0964838497423623
"LPAR2_HUMAN",-264.617531311181,1,1,-2.29012370602771,0.0220141465100332,0.0954324598708142
"OPRM_HUMAN",42.5573696820595,0,0,-2.29962017641569,0.0214697479988297,0.0933129615866447
"FUCO_HUMAN",-755.120571772806,1,1,-2.30387434565573,0.0212296981895941,0.092508684857247
"RXRB_MOUSE",-966.572478183742,1,1,-2.3042509270287,0.0212085619198356,0.092508684857247
"RXRG_MOUSE",-966.572478183742,1,1,-2.3042509270287,0.0212085619198356,0.092508684857247
"PTGDS_MOUSE",-11.4565447725276,1,1,-2.31453433709147,0.0206384299967012,0.0906366560168445
"PDE1A_HUMAN",-679.07156803645,1,1,-2.31513307980001,0.0206056501749874,0.0906366560168445
"GBRA5_HUMAN",-513.079121296538,1,1,-2.31800562964459,0.0204490151021587,0.0902762294011312
"FAAH1_MOUSE",-123.916598998602,1,1,-2.31805849300221,0.0204461423148229,0.0902762294011312
"S22AC_HUMAN",-409.119800092483,1,1,-2.3249364114121,0.0200753606380078,0.0890943445729001
"DRD1_MOUSE",-386.240707081953,1,1,-2.33379904447119,0.0196062468718485,0.0872426117419292
"OX1R_HUMAN",26.8629142616339,0,0,-2.33457493422199,0.019565637261581,0.0872426117419292
"SC5A1_HUMAN",-256.039214923515,1,1,-2.33820033270696,0.0193768582669294,0.0866805202259982
"TPOR_HUMAN",-560.056439846149,1,1,-2.33987514650179,0.0192901874120177,0.0865229206053701
"ERCC5_HUMAN",-311.72521091139,1,1,-2.34394020250714,0.0190812303561642,0.0858145172702359
"C11B1_RAT",-377.598400561787,1,1,-2.3502494465421,0.0187608335611202,0.0845997910182418
"SCN2A_RAT",162.071832757468,0,0,-2.35026131348577,0.0187602353938429,0.0845997910182418
"ADA2A_BOVIN",-8.31111048805849,1,1,-2.35173236716495,0.0186862142932648,0.0845997910182418
"RORA_HUMAN",-172.046207422959,1,1,-2.35343181268964,0.0186010190788839,0.0845592272721155
"GCR_RAT",-387.722438913983,1,1,-2.35453719482727,0.0185457875626478,0.0845366251500639
"GCR_HUMAN",-121.175332555947,1,1,-2.35870130323542,0.0183390102853577,0.083821237228184
"PTN6_HUMAN",-380.77944765918,1,1,-2.35875170026145,0.0183365201291097,0.083821237228184
"TLR8_HUMAN",-641.61865263283,1,1,-2.35945497491648,0.0183018016540344,0.083821237228184
"DHI1_MOUSE",-313.279174277538,1,1,-2.36412362284861,0.0180727807586554,0.0835121352638967
"PE2R1_MOUSE",-294.984369957278,1,1,-2.36716403074843,0.0179249863728024,0.083057374873426
"AMPE_HUMAN",-1110.71270409409,1,1,-2.3685279913583,0.0178590289385758,0.0829803499300674
"CA2D1_MOUSE",-338.293895105227,1,1,-2.37435534239183,0.017579623137911,0.0819083825982445
"SPHK1_HUMAN",-489.151502786382,1,1,-2.37645739728076,0.0174797797881872,0.0816694155659189
"FKB1A_HUMAN",32.8459579551708,0,0,-2.37850510817776,0.0173829960758376,0.081443452366459
"CXCR2_HUMAN",-1109.28632547226,1,1,-2.38434127381628,0.0171097271570611,0.0803870421178123
"LPAR3_HUMAN",-550.959084316773,1,1,-2.38708884757394,0.0169823865452691,0.0800122525746294
"AGTR1_BOVIN",-568.184641261853,1,1,-2.39628905106582,0.0165620237398718,0.0782509099170346
"LOX5_MOUSE",-516.199853403352,1,1,-2.39927323960559,0.0164276511662339,0.0778346739763534
"AMD_RAT",-648.484979556869,1,1,-2.40140181768252,0.0163323912718336,0.0776019268904635
"VMAT2_RAT",-63.0878907904873,1,1,-2.41150230000084,0.0158869516480436,0.0756992993541342
"CP2C8_HUMAN",-420.735128271165,1,1,-2.41700089166679,0.0156489787903213,0.0747772225151149
"SC6A9_HUMAN",-161.524161399526,1,1,-2.42454725106766,0.0153274885602601,0.0734496745252349
"TLR4_MOUSE",-122.522059462332,1,1,-2.42697472658866,0.0152253164470972,0.0731685207543357
