"","pert_iname","mean","n","median","sd","sRGES"
"5899","BRD-K20126873",-0.160092330403888,4,-0.266091352025028,0.551273638441791,-0.160092330403888
"5900","PD-173074",-0.16002027745781,33,-0.25708442886357,0.486188059148649,-0.16002027745781
"5901","cerivastatin",-0.159864937162874,6,-0.106526152457721,0.43144934782198,-0.159864937162874
"5902","BRD-K01121114",-0.159845301020029,29,-0.301205971289966,0.479838214265974,-0.159845301020029
"5903","ibrutinib",-0.159841529795436,26,-0.170632870746531,0.444284151165628,-0.159841529795436
"5904","cyclopentene",-0.159771120950351,18,-0.216007301981965,0.482131406485792,-0.159771120950351
"5905","apomorphine",-0.159768921958159,2,-0.159768921958159,0.580636930265899,-0.159768921958159
"5906","BRD-K75990826",-0.159556352896098,2,-0.159556352896098,0.92690275407071,-0.159556352896098
"5907","BRD-K43226598",-0.159440262887168,8,-0.290210055466777,0.492477868134509,-0.159440262887168
"5908","ST-91",-0.159307980102314,5,-0.220420683610868,0.542713187775428,-0.159307980102314
"5909","amodiaquine",-0.15908209806266,11,-0.272348816827344,0.437068165802174,-0.15908209806266
"5910","BRD-K17619044",-0.158961318552496,1,-0.158961318552496,NA,-0.158961318552496
"5911","pyroxamide",-0.158669338984991,16,-0.159586333585387,0.485798546351939,-0.158669338984991
"5912","BRD-K45466167",-0.158606893357681,5,-0.249901079743893,0.524033408942571,-0.158606893357681
"5913","BRD-K09641927",-0.158455446884098,2,-0.158455446884098,1.03195382668882,-0.158455446884098
"5914","BRD-K36665199",-0.158348828432824,2,-0.158348828432824,0.292613717660165,-0.158348828432824
"5915","epinephrine",-0.158169116423679,7,0.00627284845879186,0.330440927153908,-0.158169116423679
"5916","SA-1457305",-0.157986945494727,5,0.0966624033288952,0.522909930667687,-0.157986945494727
"5917","BRD-K07872006",-0.157817274260639,4,-0.231128553819911,0.377242273121817,-0.157817274260639
"5918","BRD-K77987635",-0.157799258784089,7,-0.117221735319895,0.388732207607895,-0.157799258784089
"5919","BRD-K77264230",-0.157464212678937,1,-0.157464212678937,NA,-0.157464212678937
"5920","duloxetine",-0.15743260994313,10,-0.316945089022949,0.388471486586199,-0.15743260994313
"5921","BRD-A75301702",-0.157403395803486,10,-0.130189605569027,0.488255751422388,-0.157403395803486
"5922","BRD-K93763482",-0.157330274944512,3,-0.402862985685072,0.772273226841271,-0.157330274944512
"5923","BRD-K86652643",-0.157226222558293,3,-0.128258264599928,0.543082217463803,-0.157226222558293
