"target","score","p","padj","norm_z_score","norm_z_score_p","norm_z_score_p_adj"
"c0-857",-1712.25482597427,1,1,-1.0974719799535,0.272435122974225,0.800887282017531
"c4-418",-3955.81794068001,1,1,-1.10158354183853,0.270642766673965,0.798112696479127
"c4-649",-3920.81512740133,1,1,-1.10198871198214,0.270466579062652,0.798112696479127
"c3-277",-1740.44404024902,1,1,-1.10227278279692,0.270343098209257,0.798112696479127
"c0-1483",-1738.57428592293,1,1,-1.10236612040686,0.270302534342258,0.798112696479127
"c3-29",-804.4225682616,1,1,-1.10366785691841,0.269737243788037,0.798112696479127
"c0-885",-1346.82010388438,1,1,-1.10491492937229,0.269196452742044,0.798112696479127
"c3-50",-1086.820654373,1,1,-1.10636614626713,0.268568072233242,0.798112696479127
"c4-469",-3993.82099509686,1,1,-1.10996721553045,0.267013154105637,0.798112696479127
"c1-527",-1785.58983995528,1,1,-1.11163210328302,0.26629636352769,0.798112696479127
"c1-4",-582.022931392293,1,1,-1.1146845359307,0.264985630059319,0.796138542931843
"c0-1431",-1735.52695480903,1,1,-1.1151156230697,0.2648008774277,0.796138542931843
"c2-282",-1769.91249859321,1,1,-1.11550478141213,0.264634170635162,0.796138542931843
"c4-127",-1396.19326174758,1,1,-1.11612645696666,0.264368008742298,0.796138542931843
"c4-214",-1737.01159272157,1,1,-1.1194661977362,0.262941303672508,0.795477186639656
"c4-688",-4039.82469254883,1,1,-1.12051139243879,0.262495900590837,0.795477186639656
"c4-554",-4032.8241298931,1,1,-1.12653856011146,0.259937628534501,0.793354370215718
"c1-193",-1402.57706237071,1,1,-1.12946088987699,0.258703459104465,0.790482791708087
"c3-52",-1422.10898273603,1,1,-1.13146139808648,0.257860941947231,0.789546630244829
"c4-621",-4070.82718430994,1,1,-1.13181304613296,0.257713041697976,0.789546630244829
"c1-356",-1787.68712657126,1,1,-1.13227530083933,0.257518710735795,0.789546630244829
"c0-1390",-1739.33016621978,1,1,-1.13262222225108,0.257372932457556,0.789546630244829
"c0-53",-205.649922874683,1,1,-1.13399742068809,0.256795629946587,0.789546630244829
"c4-522",-4083.82822924202,1,1,-1.13441145172759,0.256621997664182,0.789546630244829
"c4-96",-1409.32957259869,1,1,-1.13543920041607,0.256191342855264,0.789546630244829
"c1-369",-1790.26333451274,1,1,-1.13559924698662,0.25612432416546,0.789546630244829
"c0-1444",-1807.17420438911,1,1,-1.13758592668476,0.25529342589266,0.789546630244829
"c0-282",-1004.99196232801,1,1,-1.14014786115204,0.254224705057706,0.789546630244829
"c0-146",-769.856756993713,1,1,-1.14106319636501,0.253843625364069,0.789546630244829
"c0-1526",-1786.12264446395,1,1,-1.14610184903988,0.251753012624681,0.788172279989588
"c4-610",-4175.83562414597,1,1,-1.14776637820472,0.251065020540838,0.787683620905191
"c4-425",-4225.83964311551,1,1,-1.15876979604635,0.246550032178671,0.781708631437081
"c0-1344",-1843.30953060154,1,1,-1.15958325891694,0.246218520237718,0.781577045984274
"c3-114",-1449.36651258642,1,1,-1.16187163395489,0.245287610914886,0.781383110420353
"c4-91",-896.222583032485,1,1,-1.16318312675041,0.244755210948441,0.780609814800059
"c4-198",-1849.7182577382,1,1,-1.16501193130133,0.244014163282445,0.779168447922026
"c3-87",-1199.99253847652,1,1,-1.1655959784654,0.24377783455735,0.779168447922026
"c4-58",-901.29072964016,1,1,-1.1657076413791,0.243732669613361,0.779168447922026
"c4-659",-4184.83634756049,1,1,-1.16927806125016,0.242291619258103,0.779168447922026
"c4-765",-4183.83626718109,1,1,-1.17098667631626,0.241604132732302,0.778855427887026
"c4-278",-2542.53632520873,1,1,-1.17577446682831,0.239685012135862,0.77513936033558
"c4-785",-4207.83819628647,1,1,-1.17711153750227,0.239150990666422,0.77513936033558
"c4-73",-1236.64651121992,1,1,-1.17833052068355,0.238664864791446,0.77513936033558
"c4-222",-4288.84470701712,1,1,-1.17991032377166,0.238035883386507,0.77513936033558
"c0-107",-523.627944699793,1,1,-1.18167969182135,0.23733281933361,0.77513936033558
"c4-264",-4244.84117032393,1,1,-1.18177659863078,0.237294355526195,0.77513936033558
"c0-54",-653.593337241447,1,1,-1.18328501623776,0.236696209109595,0.77513936033558
"c0-1469",-1915.64593978376,1,1,-1.18501750804058,0.236010524621879,0.77513936033558
"c4-591",-4294.84518929347,1,1,-1.18603944990283,0.235606720602114,0.77513936033558
"c0-717",-1267.85680488635,1,1,-1.18662868657955,0.235374115465457,0.77513936033558
"c4-468",-2576.26519876073,1,1,-1.18914123720385,0.234384093514787,0.775049241745217
"c4-84",-1289.65025914495,1,1,-1.18976511457978,0.234138724548778,0.775049241745217
"c4-228",-2628.62516113629,1,1,-1.19200011542854,0.233261200009584,0.775049241745217
"c1-103",-1272.34262182099,1,1,-1.19251225931907,0.233060446694627,0.775049241745217
"c0-1195",-1927.86560509816,1,1,-1.1930212402867,0.232861054638798,0.775049241745217
"c0-1273",-1920.24494705543,1,1,-1.19435488028856,0.232339178429623,0.775049241745217
"c3-293",-1922.84099415022,1,1,-1.19559271729525,0.231855534830126,0.775049241745217
"c4-138",-1916.55381573055,1,1,-1.19577870402651,0.231782928520866,0.775049241745217
"c0-658",-1102.18068144521,1,1,-1.19988072142021,0.230185668232482,0.775049241745217
"c0-1118",-1553.69912320029,1,1,-1.20059816960355,0.229907111423593,0.775049241745217
"c2-226",-1910.74195513611,1,1,-1.20192717151369,0.229391746018198,0.775049241745217
"c0-1179",-1956.89449178181,1,1,-1.20218355969661,0.229292417498912,0.775049241745217
"c0-1185",-1958.89771331562,1,1,-1.20428005345435,0.228481353529408,0.775049241745217
"c0-67",-1550.63409609367,1,1,-1.20569229827696,0.227936155746612,0.775049241745217
"c0-1500",-1892.69883313024,1,1,-1.20603349643827,0.22780457517016,0.775049241745217
"c4-16",-495.202276664633,1,1,-1.20643047466982,0.227651551549071,0.775049241745217
"c2-234",-1947.50838049332,1,1,-1.20797231494958,0.227057911559373,0.775049241745217
"c4-83",-1123.55359264712,1,1,-1.20929744324785,0.226548592778941,0.775049241745217
"c4-594",-4359.85041395386,1,1,-1.21251069934863,0.225316949474405,0.775049241745217
"c3-291",-1956.70529702263,1,1,-1.21350350139592,0.224937376507331,0.775049241745217
"c4-577",-4421.85539747609,1,1,-1.21392439161926,0.22477659763994,0.775049241745217
"c3-113",-1548.0811059732,1,1,-1.21406821587502,0.224721676010868,0.775049241745217
"c4-664",-4365.85089623021,1,1,-1.21453368215777,0.224543995880018,0.775049241745217
"c2-46",-1282.2556014849,1,1,-1.21744079794108,0.223436548419788,0.775049241745217
"c1-266",-1579.79320702321,1,1,-1.21786209583926,0.223276382334813,0.775049241745217
"c4-237",-2001.48403118237,1,1,-1.21847884871736,0.223042057712878,0.775049241745217
"c0-234",-723.991040337085,1,1,-1.22427893365061,0.220847021158509,0.775049241745217
"c4-226",-2673.84225059738,1,1,-1.22457171461178,0.220736630587947,0.775049241745217
"c4-49",-986.852303508386,1,1,-1.22699093197058,0.219825999187981,0.775049241745217
"c0-1066",-1601.04138787902,1,1,-1.23034111133356,0.218569395400701,0.775049241745217
"c0-1040",-1989.17918366873,1,1,-1.23453407949306,0.217003955785843,0.775049241745217
"c1-396",-2010.96287266492,1,1,-1.23611365564568,0.216416319611458,0.775049241745217
"c4-128",-4449.85764809903,1,1,-1.23613295157996,0.216409148198855,0.775049241745217
"c2-190",-1950.44417111758,1,1,-1.23646061549803,0.216287396681558,0.775049241745217
"c4-253",-4465.85893416928,1,1,-1.23927384361705,0.215244101858211,0.775049241745217
"c4-398",-2761.99053694178,1,1,-1.23952941796748,0.215149501258576,0.775049241745217
"c4-450",-4447.85748734025,1,1,-1.24001712482341,0.214969060179866,0.775049241745217
"c0-898",-1587.21942714224,1,1,-1.24053129587723,0.214778946046361,0.775049241745217
"c4-282",-2755.77794004545,1,1,-1.24485315950258,0.213185731362983,0.775049241745217
"c0-840",-1990.156519099,1,1,-1.245063036751,0.21310857985353,0.775049241745217
"c1-197",-1620.40452318844,1,1,-1.245457991562,0.212963447931964,0.775049241745217
"c0-1447",-2015.5460732235,1,1,-1.24614569731904,0.21271091072096,0.775049241745217
"c4-789",-4521.86343541516,1,1,-1.24807713160568,0.212002812047542,0.775049241745217
"c0-686",-1384.85689518091,1,1,-1.25958267659728,0.207819948041017,0.775049241745217
"c4-490",-4541.86504300297,1,1,-1.26078946321194,0.207384711074546,0.775049241745217
"c0-891",-1632.74433015341,1,1,-1.26278336082936,0.206667046083028,0.775049241745217
"c2-224",-2085.95305792591,1,1,-1.26444716527983,0.206069573111765,0.775049241745217
"c4-700",-4570.86737400531,1,1,-1.26669269664823,0.205265192455206,0.774043045953423
"c4-262",-2060.1231003629,1,1,-1.26839818465804,0.204655789588706,0.774043045953423
"c0-148",-538.547878945,1,1,-1.26872869092067,0.204537845857054,0.774043045953423
"c4-713",-4551.86584679688,1,1,-1.27174486254473,0.203463785171768,0.773391961971672
"c0-1181",-2068.80941882992,1,1,-1.27219107824993,0.203305236777607,0.773391961971672
"c0-1570",-2071.1863405445,1,1,-1.2766759713765,0.201716668061883,0.771101305569892
"c0-44",-1041.75484812614,1,1,-1.27860334238071,0.201036772379504,0.771101305569892
"c4-790",-4590.86898159312,1,1,-1.28138219000694,0.200059456701081,0.771101305569892
"c0-802",-1395.10293283212,1,1,-1.28221901660267,0.19976582708958,0.771101305569892
"c0-535",-1411.88714294154,1,1,-1.28406624477425,0.199118777625634,0.771101305569892
"c4-505",-4617.87115183667,1,1,-1.28538363180752,0.198658258151293,0.771101305569892
"c2-139",-1705.33501501177,1,1,-1.28838892903889,0.197610610603217,0.768485707901401
"c4-184",-1715.62701055713,1,1,-1.29535889257054,0.195196451827793,0.766843203609187
"c1-619",-2143.26356623886,1,1,-1.29916485739153,0.19388735900038,0.763927532903546
"c2-82",-1418.7876430488,1,1,-1.2992930219387,0.193843388204124,0.763927532903546
"c4-203",-4696.87750180854,1,1,-1.30276032166759,0.192656600903487,0.763927532903546
"c3-280",-2124.55337413193,1,1,-1.30278836309333,0.1926470247015,0.763927532903546
"c0-1564",-2142.02692519289,1,1,-1.30295049030322,0.192591664799009,0.763927532903546
"c4-244",-2869.29885844972,1,1,-1.30379637837773,0.192303017776929,0.763927532903546
"c4-263",-4717.87918977574,1,1,-1.30416445604334,0.192177515970689,0.763927532903546
"c0-890",-1731.64863800272,1,1,-1.3047283545837,0.191985362805989,0.763927532903546
"c4-359",-4704.87814484366,1,1,-1.30659973698873,0.191348686010924,0.763927532903546
"c1-125",-2164.94165230428,1,1,-1.3096582077671,0.19031148757595,0.763927532903546
"c4-13",-781.992812190737,1,1,-1.30974389546555,0.190282488629542,0.763927532903546
"c2-34",-1748.75787165503,1,1,-1.31249971285843,0.189351582863528,0.763927532903546
"c2-199",-2194.45653212492,1,1,-1.32164720721833,0.186285655894329,0.763918020579614
"c4-516",-2906.2356452638,1,1,-1.3230605594523,0.18581523940687,0.763856600528823
"c0-179",-1461.27782604399,1,1,-1.32499408831386,0.185173112071638,0.763310471783748
"c1-339",-2171.48716256865,1,1,-1.32907328889524,0.183823791746342,0.762249313786677
"c4-722",-4778.88409291858,1,1,-1.33184255444549,0.182911931105344,0.760721688779168
"c0-749",-2156.98972622749,1,1,-1.33669544466196,0.18132206948723,0.756820169466928
"c0-60",-1003.88067371106,1,1,-1.33870892076133,0.180665451022818,0.756820169466928
"c2-138",-1806.50770920457,1,1,-1.34311676504702,0.179234167781943,0.755729292662498
"c1-110",-1512.50032460476,1,1,-1.34446488773195,0.178798103304822,0.755729292662498
"c2-146",-1792.69150613625,1,1,-1.34550231860357,0.178463073044402,0.755729292662498
"c0-677",-2268.26128891863,1,1,-1.3583649523207,0.174347909515876,0.754378072415292
"c4-513",-4850.88988023471,1,1,-1.36082002199114,0.173570572952794,0.754378072415292
"c4-48",-1340.19251738594,1,1,-1.36748652360678,0.17147285850753,0.754378072415292
"c4-243",-3088.50367815763,1,1,-1.36878049092135,0.171067900945364,0.754378072415292
"c3-225",-2262.82047407604,1,1,-1.37381533719364,0.169499018438807,0.754378072415292
"c1-241",-1866.5797943449,1,1,-1.37473487641176,0.169213654501459,0.754378072415292
"c0-294",-1855.41993760426,1,1,-1.38037465585544,0.167471319394227,0.752225342945737
"c0-1556",-2290.24769543252,1,1,-1.38130945407825,0.167183832581185,0.752187694167434
"c4-312",-5018.90338397235,1,1,-1.38204301937502,0.166958492514063,0.752187694167434
"c0-957",-1862.62469829876,1,1,-1.38439423225583,0.166237774059665,0.751695974984561
"c4-558",-4976.90000803794,1,1,-1.3850427030051,0.166039410215009,0.751695974984561
"c0-1239",-2270.7128246444,1,1,-1.38512778996929,0.166013395771089,0.751695974984561
